,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
66,47,technician,married,basic.9y,no,yes,no,cellular,jul,mon,502.0,2,999,0,nonexistent,no
67,30,services,married,university.degree,no,unknown,unknown,cellular,may,mon,132.0,1,999,1,failure,no
68,35,self-employed,married,university.degree,no,no,no,telephone,jul,thu,11.0,5,999,0,nonexistent,no
69,42,self-employed,married,university.degree,no,yes,no,telephone,jun,fri,59.0,3,999,0,nonexistent,no
70,29,admin.,divorced,professional.course,no,no,yes,cellular,nov,wed,1435.0,3,999,1,failure,no
71,40,unemployed,single,high.school,no,yes,no,cellular,jul,mon,300.0,5,999,0,nonexistent,no
72,57,retired,single,university.degree,no,no,no,cellular,may,fri,208.0,1,999,0,nonexistent,no
73,34,technician,married,professional.course,no,yes,yes,cellular,sep,wed,121.0,3,999,0,nonexistent,yes
74,42,blue-collar,married,basic.4y,no,yes,yes,cellular,apr,mon,172.0,1,999,0,nonexistent,no
75,33,technician,single,professional.course,no,yes,no,cellular,sep,fri,246.0,9,999,2,failure,no
76,45,blue-collar,married,basic.4y,no,yes,no,cellular,aug,tue,111.0,1,999,0,nonexistent,no
77,35,technician,married,professional.course,no,no,yes,cellular,aug,mon,463.0,2,999,0,nonexistent,no
78,45,services,married,basic.9y,no,yes,no,telephone,may,tue,207.0,6,999,0,nonexistent,no
79,40,management,married,university.degree,no,no,no,telephone,jun,fri,64.0,1,999,0,nonexistent,no
80,38,services,married,high.school,no,yes,yes,cellular,nov,wed,729.0,3,999,0,nonexistent,no
81,45,self-employed,married,professional.course,unknown,yes,yes,telephone,jun,mon,330.0,3,999,0,nonexistent,no
82,31,services,married,high.school,no,yes,no,cellular,may,thu,128.0,2,999,0,nonexistent,no
83,32,services,single,high.school,no,yes,no,cellular,jul,wed,318.0,1,999,0,nonexistent,no
84,33,technician,married,professional.course,unknown,yes,no,cellular,apr,fri,446.0,2,999,0,nonexistent,no
85,36,blue-collar,married,basic.9y,no,yes,no,cellular,apr,mon,57.0,3,999,0,nonexistent,no
86,33,blue-collar,married,basic.9y,no,no,yes,cellular,nov,thu,200.0,1,999,0,nonexistent,no
87,45,admin.,married,high.school,no,no,no,telephone,jul,thu,172.0,10,999,0,nonexistent,no
88,35,services,divorced,high.school,no,no,no,telephone,may,mon,122.0,3,999,0,nonexistent,no
89,33,admin.,married,university.degree,no,no,no,cellular,aug,wed,88.0,1,999,0,nonexistent,no
90,36,blue-collar,married,basic.4y,no,no,no,telephone,jun,mon,90.0,2,999,0,nonexistent,no
91,34,admin.,married,high.school,no,yes,no,telephone,may,mon,188.0,2,999,0,nonexistent,no
92,36,services,married,high.school,no,yes,no,cellular,may,tue,574.0,2,999,0,nonexistent,no
93,29,technician,single,professional.course,no,no,yes,cellular,may,wed,289.0,2,999,0,nonexistent,no
94,30,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed,139.0,2,999,0,nonexistent,no
95,27,admin.,single,university.degree,no,no,no,telephone,jun,fri,134.0,2,999,0,nonexistent,no
96,39,technician,divorced,professional.course,no,no,no,telephone,jun,wed,29.0,2,999,0,nonexistent,no
97,35,technician,married,university.degree,unknown,no,no,telephone,may,wed,266.0,2,999,0,nonexistent,no
98,34,admin.,single,university.degree,no,yes,yes,telephone,jul,mon,4.0,1,999,0,nonexistent,no
99,28,blue-collar,married,basic.9y,no,no,no,cellular,jul,tue,143.0,5,999,0,nonexistent,no
100,42,admin.,married,university.degree,no,no,no,cellular,aug,tue,68.0,2,999,0,nonexistent,no
101,37,technician,married,professional.course,no,no,no,telephone,may,tue,253.0,16,999,0,nonexistent,no
102,28,admin.,single,university.degree,no,yes,no,cellular,jul,wed,147.0,4,999,0,nonexistent,no
103,31,admin.,married,university.degree,no,no,no,cellular,may,tue,176.0,1,999,0,nonexistent,no
104,37,blue-collar,married,high.school,unknown,no,no,cellular,may,fri,323.0,2,999,1,failure,no
105,46,admin.,married,high.school,no,no,no,cellular,jul,mon,76.0,10,999,0,nonexistent,no
106,29,admin.,single,university.degree,no,yes,yes,cellular,aug,fri,33.0,4,999,0,nonexistent,no
107,29,admin.,married,university.degree,no,yes,no,cellular,aug,fri,63.0,4,999,0,nonexistent,no
108,43,technician,married,unknown,unknown,yes,yes,telephone,may,mon,325.0,1,999,0,nonexistent,no
109,51,services,married,high.school,no,no,yes,telephone,jun,mon,267.0,1,999,0,nonexistent,no
110,31,technician,single,university.degree,no,unknown,unknown,telephone,apr,tue,222.0,1,999,0,nonexistent,no
111,38,housemaid,divorced,university.degree,no,no,no,cellular,nov,wed,403.0,2,999,0,nonexistent,yes
112,45,admin.,married,unknown,unknown,no,no,cellular,aug,thu,7.0,14,999,0,nonexistent,no
113,26,entrepreneur,single,university.degree,no,no,no,telephone,jul,fri,117.0,1,999,0,nonexistent,no
114,43,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,thu,219.0,1,999,0,nonexistent,no
115,35,management,married,professional.course,no,no,yes,cellular,may,fri,376.0,3,999,0,nonexistent,no
116,31,technician,divorced,basic.9y,no,no,no,telephone,may,tue,244.0,1,999,0,nonexistent,no
117,30,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,141.0,6,999,0,nonexistent,no
118,43,admin.,married,professional.course,unknown,yes,no,cellular,jul,thu,747.0,4,999,0,nonexistent,no
119,30,blue-collar,married,basic.6y,no,no,no,telephone,jun,tue,338.0,1,999,0,nonexistent,no
120,45,management,married,university.degree,unknown,unknown,unknown,cellular,jul,tue,107.0,2,999,0,nonexistent,no
121,30,self-employed,married,professional.course,no,no,no,telephone,jun,fri,101.0,2,999,0,nonexistent,no
122,25,technician,single,university.degree,no,yes,yes,cellular,jun,wed,124.0,1,999,1,failure,no
123,81,housemaid,married,basic.4y,no,yes,no,cellular,oct,wed,246.0,2,999,0,nonexistent,no
124,34,technician,married,professional.course,no,yes,no,telephone,may,tue,132.0,3,999,0,nonexistent,no
125,35,unknown,married,basic.9y,no,no,no,telephone,may,thu,241.0,4,999,0,nonexistent,no
126,35,services,married,high.school,no,yes,yes,cellular,jul,mon,332.0,1,999,0,nonexistent,no
127,31,blue-collar,single,high.school,unknown,yes,no,telephone,may,mon,93.0,4,999,0,nonexistent,no
128,37,entrepreneur,married,high.school,unknown,no,no,cellular,nov,thu,68.0,1,999,1,failure,no
129,40,technician,single,professional.course,no,yes,yes,cellular,apr,mon,538.0,1,999,0,nonexistent,no
130,41,unemployed,married,basic.9y,unknown,no,no,telephone,may,thu,314.0,1,999,0,nonexistent,no
131,35,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,240.0,2,999,0,nonexistent,no
132,38,blue-collar,married,basic.6y,no,no,no,cellular,jul,tue,728.0,8,999,0,nonexistent,no
133,39,unemployed,married,basic.9y,no,yes,no,cellular,may,wed,222.0,2,999,1,failure,no
134,47,retired,married,basic.4y,no,no,no,telephone,jul,tue,484.0,1,999,0,nonexistent,no
135,32,technician,single,university.degree,no,yes,no,telephone,jul,thu,119.0,2,999,0,nonexistent,no
136,39,technician,married,professional.course,no,no,no,cellular,jul,tue,62.0,1,999,0,nonexistent,no
137,52,management,married,university.degree,no,yes,yes,cellular,nov,mon,98.0,1,999,0,nonexistent,no
138,32,services,single,basic.6y,no,unknown,unknown,telephone,jun,thu,131.0,3,999,0,nonexistent,no
139,56,services,divorced,high.school,unknown,yes,no,cellular,aug,tue,59.0,5,999,0,nonexistent,no
140,71,retired,single,university.degree,no,no,no,telephone,oct,tue,120.0,1,999,0,nonexistent,no
141,41,admin.,married,university.degree,no,yes,no,cellular,aug,fri,47.0,13,999,0,nonexistent,no
142,42,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed,209.0,1,999,0,nonexistent,no
143,39,management,married,high.school,no,no,yes,cellular,jul,thu,245.0,2,999,0,nonexistent,no
144,44,blue-collar,married,basic.9y,no,no,yes,cellular,jul,fri,185.0,3,999,0,nonexistent,no
145,35,blue-collar,single,basic.4y,no,no,no,cellular,jul,fri,308.0,2,999,0,nonexistent,no
146,45,blue-collar,married,basic.9y,unknown,yes,yes,telephone,jun,thu,93.0,1,999,0,nonexistent,no
147,52,admin.,married,university.degree,no,no,no,cellular,aug,mon,268.0,1,999,0,nonexistent,no
148,42,services,married,high.school,no,yes,no,cellular,may,mon,520.0,2,3,1,success,no
149,32,blue-collar,single,basic.9y,no,yes,no,cellular,jul,mon,552.0,3,999,0,nonexistent,no
150,38,technician,single,high.school,no,yes,yes,cellular,aug,tue,97.0,1,999,0,nonexistent,no
151,57,retired,married,basic.9y,unknown,yes,no,cellular,aug,fri,27.0,6,999,0,nonexistent,no
152,53,admin.,divorced,university.degree,no,no,yes,cellular,nov,tue,172.0,1,999,0,nonexistent,no
153,36,technician,married,professional.course,no,no,no,telephone,may,tue,769.0,2,999,0,nonexistent,no
154,44,student,single,unknown,unknown,no,yes,cellular,jul,tue,113.0,6,999,0,nonexistent,no
155,20,student,single,unknown,no,yes,no,cellular,apr,tue,99.0,1,999,0,nonexistent,no
156,32,technician,single,professional.course,no,no,no,cellular,apr,mon,33.0,1,6,1,success,no
157,37,blue-collar,married,professional.course,no,yes,no,telephone,may,tue,160.0,6,999,0,nonexistent,no
158,26,blue-collar,single,basic.9y,no,no,no,telephone,may,wed,738.0,2,999,0,nonexistent,no
159,34,blue-collar,married,basic.4y,no,yes,no,cellular,nov,mon,54.0,1,999,0,nonexistent,no
160,45,self-employed,married,basic.4y,no,yes,yes,cellular,aug,thu,266.0,2,999,0,nonexistent,no
161,32,blue-collar,single,basic.4y,no,yes,no,cellular,jul,fri,141.0,1,999,0,nonexistent,no
162,56,admin.,married,university.degree,no,no,no,telephone,may,fri,1461.0,2,999,0,nonexistent,no
163,37,self-employed,single,university.degree,no,yes,no,cellular,apr,thu,270.0,2,999,1,failure,no
164,34,admin.,married,high.school,no,no,no,cellular,may,tue,166.0,5,999,1,failure,no
165,36,blue-collar,single,basic.9y,unknown,no,no,telephone,may,mon,125.0,5,999,0,nonexistent,no
166,48,entrepreneur,married,university.degree,no,yes,no,cellular,apr,thu,126.0,3,999,0,nonexistent,no
167,49,housemaid,divorced,basic.6y,no,yes,no,telephone,may,wed,295.0,1,999,0,nonexistent,no
168,32,admin.,single,university.degree,no,no,no,telephone,may,mon,409.0,2,999,0,nonexistent,no
169,37,entrepreneur,single,university.degree,no,no,no,cellular,nov,tue,199.0,1,999,0,nonexistent,no
170,44,admin.,married,university.degree,unknown,yes,no,cellular,aug,thu,36.0,1,999,0,nonexistent,no
171,28,services,single,high.school,no,yes,yes,telephone,sep,fri,5.0,1,999,0,nonexistent,no
172,33,technician,married,professional.course,no,yes,no,cellular,aug,fri,229.0,4,999,0,nonexistent,no
173,33,blue-collar,single,basic.4y,no,no,no,cellular,apr,mon,242.0,3,999,0,nonexistent,no
174,57,blue-collar,married,basic.4y,unknown,no,no,telephone,may,fri,258.0,2,999,0,nonexistent,no
175,53,entrepreneur,divorced,unknown,no,yes,no,telephone,jun,thu,154.0,3,999,0,nonexistent,no
176,30,entrepreneur,married,high.school,no,yes,yes,cellular,may,fri,485.0,1,999,0,nonexistent,yes
177,31,admin.,married,high.school,no,yes,no,cellular,may,wed,14.0,1,999,0,nonexistent,no
178,31,admin.,married,high.school,no,yes,no,cellular,jul,thu,627.0,1,999,0,nonexistent,yes
179,60,retired,married,university.degree,unknown,no,no,telephone,may,fri,485.0,1,999,0,nonexistent,no
180,43,admin.,married,university.degree,no,no,no,telephone,aug,wed,618.0,8,999,0,nonexistent,yes
181,43,management,married,university.degree,no,yes,no,cellular,nov,thu,,4,999,1,failure,no
182,30,blue-collar,single,basic.9y,no,yes,yes,cellular,jul,fri,166.0,1,999,0,nonexistent,no
183,25,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,mon,283.0,5,999,0,nonexistent,no
184,59,retired,married,basic.9y,no,yes,no,cellular,aug,mon,93.0,6,999,0,nonexistent,no
185,50,blue-collar,divorced,basic.4y,no,yes,no,telephone,jun,mon,46.0,1,999,0,nonexistent,no
186,55,technician,married,professional.course,no,yes,no,cellular,nov,fri,98.0,1,999,0,nonexistent,no
187,27,blue-collar,single,basic.4y,no,no,no,cellular,jul,thu,451.0,1,999,0,nonexistent,no
188,48,admin.,married,basic.9y,unknown,no,yes,telephone,may,mon,70.0,1,999,0,nonexistent,no
189,38,blue-collar,single,basic.6y,unknown,yes,no,cellular,may,fri,1022.0,1,999,1,failure,no
190,27,blue-collar,single,basic.9y,unknown,yes,no,cellular,may,thu,99.0,1,999,0,nonexistent,no
191,35,admin.,married,university.degree,no,yes,no,cellular,nov,wed,114.0,1,999,0,nonexistent,no
192,33,admin.,single,university.degree,no,no,no,cellular,apr,mon,339.0,1,999,2,failure,no
193,45,blue-collar,married,basic.6y,unknown,no,no,telephone,may,tue,858.0,6,999,0,nonexistent,yes
194,40,admin.,divorced,high.school,no,yes,no,cellular,jul,tue,193.0,6,999,0,nonexistent,no
195,46,self-employed,married,basic.9y,unknown,yes,no,cellular,aug,tue,159.0,1,999,0,nonexistent,no
196,32,technician,married,university.degree,no,yes,no,cellular,aug,tue,168.0,3,999,0,nonexistent,no
197,88,retired,divorced,basic.4y,no,yes,yes,cellular,mar,wed,82.0,2,999,0,nonexistent,no
198,31,management,married,university.degree,no,no,no,cellular,jun,tue,212.0,1,999,0,nonexistent,no
199,56,admin.,married,high.school,no,yes,no,telephone,may,mon,166.0,2,999,0,nonexistent,no
200,46,unemployed,married,professional.course,unknown,yes,no,telephone,may,wed,219.0,4,999,0,nonexistent,no
201,71,retired,married,basic.4y,no,no,no,cellular,oct,tue,353.0,1,999,0,nonexistent,yes
202,32,technician,single,professional.course,no,no,no,cellular,jul,tue,769.0,4,999,0,nonexistent,yes
203,31,admin.,single,high.school,unknown,unknown,unknown,cellular,jul,wed,150.0,1,999,0,nonexistent,no
204,31,admin.,married,high.school,no,yes,no,cellular,jul,wed,106.0,2,999,0,nonexistent,no
205,51,technician,married,university.degree,no,yes,no,cellular,jul,thu,226.0,1,999,0,nonexistent,no
206,29,blue-collar,single,basic.9y,no,no,no,cellular,jul,mon,135.0,2,999,0,nonexistent,no
207,24,student,single,high.school,no,yes,no,telephone,aug,fri,359.0,1,999,0,nonexistent,no
208,38,blue-collar,single,high.school,no,no,no,telephone,may,tue,112.0,3,999,0,nonexistent,no
209,36,technician,single,professional.course,no,yes,no,cellular,nov,thu,911.0,3,999,0,nonexistent,no
210,43,entrepreneur,married,professional.course,no,yes,yes,cellular,may,fri,114.0,1,999,1,failure,no
211,52,blue-collar,divorced,basic.6y,unknown,yes,no,cellular,may,thu,7.0,7,999,1,failure,no
212,62,retired,married,university.degree,unknown,no,no,cellular,aug,thu,154.0,2,999,0,nonexistent,no
213,48,services,married,high.school,unknown,yes,no,telephone,may,wed,397.0,9,999,0,nonexistent,no
214,55,technician,married,high.school,no,yes,yes,cellular,apr,tue,376.0,3,999,0,nonexistent,no
215,58,admin.,divorced,basic.9y,unknown,no,no,telephone,may,tue,201.0,1,999,0,nonexistent,no
216,37,blue-collar,single,unknown,unknown,no,no,telephone,may,fri,107.0,1,999,0,nonexistent,no
217,56,unemployed,married,professional.course,no,no,no,cellular,sep,fri,1551.0,1,999,2,failure,no
218,44,technician,divorced,university.degree,unknown,no,no,cellular,jul,mon,73.0,2,999,0,nonexistent,no
219,57,blue-collar,married,high.school,unknown,yes,no,cellular,jul,fri,572.0,1,999,0,nonexistent,yes
220,34,technician,married,professional.course,no,no,no,telephone,jun,thu,317.0,1,999,0,nonexistent,no
221,33,services,divorced,high.school,no,yes,no,cellular,nov,wed,100.0,1,999,1,failure,no
222,39,admin.,single,university.degree,no,yes,no,cellular,jul,wed,258.0,1,999,0,nonexistent,no
223,55,management,married,university.degree,no,yes,no,cellular,nov,wed,99.0,1,999,1,failure,no
224,54,retired,divorced,basic.4y,unknown,yes,no,cellular,jul,tue,498.0,1,999,0,nonexistent,no
225,40,student,single,high.school,no,no,no,cellular,nov,fri,328.0,6,999,0,nonexistent,no
226,64,retired,married,unknown,no,yes,no,cellular,jun,mon,294.0,3,999,0,nonexistent,no
227,33,technician,married,professional.course,unknown,yes,no,cellular,jul,tue,362.0,1,999,0,nonexistent,no
228,34,blue-collar,married,basic.9y,no,no,no,cellular,may,wed,267.0,1,999,0,nonexistent,no
229,75,retired,divorced,basic.4y,no,no,no,cellular,apr,mon,227.0,4,999,0,nonexistent,yes
230,55,retired,married,basic.4y,no,yes,no,cellular,aug,fri,137.0,1,3,1,success,yes
231,37,technician,married,professional.course,no,no,no,cellular,aug,fri,188.0,1,999,0,nonexistent,no
232,32,admin.,divorced,university.degree,no,yes,no,telephone,may,thu,147.0,4,999,0,nonexistent,no
233,33,entrepreneur,married,basic.9y,unknown,no,no,cellular,nov,wed,636.0,1,999,0,nonexistent,no
234,43,blue-collar,married,basic.4y,no,yes,no,telephone,may,tue,269.0,3,999,0,nonexistent,no
235,50,unemployed,married,professional.course,no,no,no,cellular,jul,thu,74.0,3,999,0,nonexistent,no
236,31,admin.,married,university.degree,no,yes,no,cellular,nov,thu,210.0,2,999,0,nonexistent,no
237,31,technician,married,university.degree,no,yes,no,cellular,may,mon,50.0,3,999,1,failure,no
238,31,technician,single,professional.course,no,yes,no,cellular,aug,mon,106.0,5,999,0,nonexistent,no
239,34,blue-collar,married,professional.course,no,yes,yes,cellular,may,fri,128.0,3,999,0,nonexistent,no
240,66,retired,married,basic.4y,no,yes,no,cellular,jul,mon,568.0,7,999,0,nonexistent,yes
241,53,blue-collar,divorced,basic.6y,no,yes,no,cellular,nov,wed,635.0,6,999,0,nonexistent,no
242,58,retired,divorced,professional.course,no,no,no,cellular,jul,wed,85.0,2,999,0,nonexistent,no
243,61,retired,married,basic.9y,no,no,no,cellular,may,mon,324.0,1,999,0,nonexistent,no
244,44,admin.,married,high.school,no,no,no,telephone,jun,fri,36.0,2,999,0,nonexistent,no
245,45,blue-collar,married,basic.6y,unknown,yes,no,cellular,aug,thu,90.0,3,999,0,nonexistent,no
246,35,blue-collar,divorced,basic.9y,no,yes,no,cellular,may,wed,203.0,2,999,1,failure,no
247,46,unknown,married,basic.4y,unknown,yes,no,telephone,jun,mon,25.0,1,999,0,nonexistent,no
248,37,services,married,high.school,no,yes,no,telephone,may,wed,124.0,2,999,0,nonexistent,no
249,43,admin.,married,high.school,unknown,no,no,telephone,jun,wed,30.0,1,999,0,nonexistent,no
250,59,blue-collar,married,basic.4y,no,no,no,cellular,mar,tue,237.0,3,999,0,nonexistent,yes
251,22,student,single,professional.course,no,no,no,cellular,nov,mon,113.0,3,999,0,nonexistent,yes
252,56,retired,married,university.degree,no,yes,no,cellular,nov,fri,189.0,2,999,0,nonexistent,no
253,37,housemaid,married,basic.6y,unknown,no,no,cellular,may,wed,177.0,1,999,0,nonexistent,no
254,42,blue-collar,married,high.school,no,yes,no,cellular,apr,mon,89.0,3,999,0,nonexistent,no
255,30,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,wed,297.0,1,999,0,nonexistent,no
256,37,entrepreneur,divorced,university.degree,no,no,yes,cellular,may,thu,95.0,3,999,0,nonexistent,no
257,34,admin.,divorced,university.degree,no,no,no,cellular,aug,tue,267.0,2,999,0,nonexistent,yes
258,34,technician,married,university.degree,no,no,no,telephone,may,tue,162.0,1,999,0,nonexistent,no
259,33,blue-collar,single,basic.9y,no,yes,no,cellular,nov,mon,101.0,1,999,0,nonexistent,no
260,31,management,single,university.degree,no,yes,no,cellular,apr,thu,211.0,1,999,0,nonexistent,no
261,44,blue-collar,married,basic.4y,no,yes,no,cellular,apr,thu,178.0,1,999,0,nonexistent,no
262,30,admin.,married,university.degree,no,no,no,telephone,jun,mon,194.0,1,999,0,nonexistent,no
263,29,blue-collar,single,high.school,no,yes,no,cellular,jul,tue,966.0,2,999,0,nonexistent,yes
264,32,housemaid,married,basic.6y,no,no,no,telephone,jul,fri,68.0,1,999,0,nonexistent,no
265,62,technician,married,unknown,no,no,no,cellular,jul,mon,167.0,1,999,0,nonexistent,no
266,48,blue-collar,married,basic.9y,no,yes,no,cellular,aug,wed,360.0,2,999,0,nonexistent,no
267,34,services,married,high.school,unknown,unknown,unknown,telephone,jun,fri,82.0,3,999,0,nonexistent,no
268,34,technician,single,professional.course,no,yes,no,cellular,mar,fri,266.0,1,999,0,nonexistent,yes
269,34,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,fri,1054.0,2,999,0,nonexistent,no
270,36,admin.,married,professional.course,no,no,no,cellular,aug,mon,58.0,1,999,0,nonexistent,no
271,32,admin.,married,university.degree,no,yes,no,cellular,may,mon,232.0,2,999,0,nonexistent,no
272,46,services,divorced,high.school,no,yes,no,telephone,may,tue,78.0,1,999,0,nonexistent,no
273,46,self-employed,married,basic.9y,unknown,yes,yes,telephone,may,mon,140.0,1,999,0,nonexistent,no
274,35,admin.,married,high.school,no,yes,no,telephone,may,mon,81.0,4,999,0,nonexistent,no
275,30,entrepreneur,divorced,basic.6y,no,no,yes,cellular,may,thu,149.0,1,999,1,failure,no
276,34,management,married,university.degree,unknown,no,no,telephone,may,mon,102.0,1,999,0,nonexistent,no
277,34,admin.,single,university.degree,no,no,no,cellular,may,tue,271.0,1,999,1,failure,no
